State,Median_Household_Income,Total_Revenue_Thousands,Per_Pupil_Spending
Alabama,66659,12853947.0,13598.057974691059
Alaska,95665,,
Arizona,81486,13858937.0,12002.95847623783
Arkansas,62106,7274695.0,13872.571401134037
California,100149,135520606.0,20233.333933732945
Colorado,97113,16594912.0,15896.961796159752
Connecticut,96049,,
Delaware,87534,2904663.0,22201.218869790024
District of Columbia,109707,,
Florida,77735,44483818.0,12688.890659562661
Georgia,79991,31703886.0,15832.58588869086
Hawaii,100745,4424925.0,23878.192406738017
Idaho,81166,3740648.0,11056.092267842767
Illinois,83211,,
Indiana,71959,16986190.0,13622.208618050034
Iowa,75501,8830356.0,14368.949683577952
Kansas,75514,,
Kentucky,64526,11234085.0,14595.645822003054
Louisiana,60986,,
Maine,76442,3741382.0,19961.598431335493
Maryland,102905,21478335.0,20208.056844338946
Massachusetts,104828,,
Michigan,72389,28437404.0,18313.728212184436
Minnesota,87117,17045237.0,17097.981997549126
Mississippi,59127,,
Missouri,71589,15251416.0,14240.516731236881
Montana,75340,2496466.0,13655.63296604832
Nebraska,76376,6106544.0,16147.478470296306
Nevada,81134,,
New Hampshire,99782,4063113.0,22978.148088917318
New Jersey,104294,,
New Mexico,67816,6820219.0,17843.70245401948
New York,85820,,
North Carolina,73958,19911392.0,12995.157780195865
North Dakota,77871,2491793.0,17102.456812529406
Ohio,72212,31534772.0,17256.78772800193
Oklahoma,66148,9342705.0,12161.561911413197
Oregon,85220,,
Pennsylvania,77545,41572901.0,21090.529278419635
Rhode Island,83504,3105270.0,22110.47425651775
South Carolina,72350,14299976.0,15060.061166387202
South Dakota,76881,2321396.0,12828.468033775634
Tennessee,71997,,
Texas,79721,83242165.0,12443.914223099533
Utah,96658,8651130.0,11342.274736177504
Vermont,82730,2643353.0,28818.337312037012
Virginia,92090,24378947.0,17104.335495453983
Washington,99389,23779055.0,18564.368321914342
West Virginia,60798,,
Wisconsin,77488,15618396.0,15789.79465446149
Wyoming,75532,2121410.0,20520.928592677472
Puerto Rico,27213,,
