Extraction Date:,7/30/2025,, -  Data not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated:,,,x Data suppressed due to small cell size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revised:,,,* Data suppressed due to data quality concerns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Department of Education, Office of Special Education Programs. EDPass: “IDEA Part B Child Count and Educational Environments Collection,” 2024-25. Data extracted as of July 30, 2025 from file specifications 002 and 089. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,State Name,SEA Education Environment,SEA Disability Category,Age 3,Age 4,Age 5 (Early Childhood),American Indian or Alaska Native - Early Childhood,Asian - Early Childhood,Black or African American - Early Childhood,Hispanic/Latino - Early Childhood,Native Hawaiian or Other Pacific Islander - Early Childhood,Two or More Races - Early Childhood,White - Early Childhood,Female - Early Childhood,Male - Early Childhood,EL Yes - Early Childhood,EL No - Early Childhood,Age 3 to 5 (Early Childhood), Age 5 (School Age),Age 6,Age 7,Age 8,Age 9,Age 10,Age 11,Age 12,Age 13,Age 14,Age 15,Age 16,Age 17,Age 18,Age 19,Age 20,Age 21,Age 5 (School Age)-11,Age 6-11,Age 12-17,Age 18-21,Age 5 (School Age)-21,Ages 6-21,EL Yes - School Age,EL No - School Age,Female - School Age,Male - School Age,American Indian or Alaska Native - School Age,Asian - School Age,Black or African American - School Age,Hispanic/Latino - School Age,Native Hawaiian or Other Pacific Islander - School Age,Two or more races - School Age,White - School Age
2024,Alabama,Correctional Facilities,All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,1,1,1,4,10,10,11,4,2,10,1,1,1,37,17,55,55,0,55,8,47,0,0,32,2,0,2,19
2024,Alabama,Home,All Disabilities,53,35,8,0,0,29,6,0,4,57,29,67,x,x,96,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2024,Alabama,Homebound/Hospital,All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,13,19,14,23,18,30,30,34,36,53,46,56,32,9,10,2,122,117,255,53,430,425,12,418,144,286,2,5,166,38,1,11,207
2024,Alabama,Inside regular class 40% through 79% of the day,All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,377,551,555,613,673,657,666,628,552,422,399,366,325,176,61,32,8,4092,3715,2692,277,7061,6684,374,6687,2190,4871,29,90,2846,605,9,322,3160
2024,Alabama,Inside regular class 80% or more of the day,All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3322,5468,6265,6737,7646,7769,7322,6929,6610,6327,6295,6012,5341,2428,249,22,2,44529,41207,37514,2701,84744,81422,4705,80039,30750,53994,593,512,28445,7467,64,3455,44208
2024,Alabama,Inside regular class less than 40% of the day,All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,598,743,683,733,662,684,630,592,608,582,564,572,533,364,233,178,22,4733,4135,3451,797,8981,8383,432,8549,2808,6173,50,156,3665,935,13,377,3785
2024,Alabama,Parentally Placed in Private Schools,All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,73,77,62,34,24,17,10,4,10,3,1,2,1,1,0,0,0,297,224,21,1,319,246,1,318,121,198,1,14,30,13,0,6,255
2024,Alabama,"Residential Facility, Early Childhood",All Disabilities,1,0,0,0,0,0,0,0,0,1,0,1,x,x,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2024,Alabama,"Residential Facility, School Age",All Disabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,3,5,10,8,16,19,28,34,37,52,51,73,37,26,13,1,65,61,275,77,417,413,15,402,166,251,2,4,163,30,0,26,192
2024,Alabama,Separate Class,All Disabilities,88,112,13,0,2,57,33,1,19,101,66,147,x,x,213,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
